business_name,phone,email,website,address,city,rating,reviews,category,lead_score
Be Cool AC & Heating,(832) 906-6113,,https://becoolachouston.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing,"7710 Cherry Park Dr Ste T418, Houston, TX 77095",Houston TX,5,580,Air conditioning repair service,100
Richmonds Air,(713) 999-4735,,https://www.richmondsair.com/?utm_source=gmb&utm_medium=website,,Houston TX,4.8,357,Air conditioning repair service,100
Uptown Heating & Air Conditioning,(832) 709-0236,,https://www.uptownac.com/,"11211 Richmond Ave Suite B102, Houston, TX 77082",Houston TX,4.9,2498,Air conditioning contractor,100
24 Seven AC,(713) 832-5545,,https://24sevenac.net/?utm_campaign=gmb,"2415 S Dairy Ashford Rd Suite C005, Houston, TX 77077",Houston TX,4.9,333,Air conditioning contractor,100
H-Town AC Repair HVAC services Houston,(832) 404-2062,,https://htownacrepair.com/,"4243 Purdue St A, Houston, TX 77005",Houston TX,4.8,263,Air conditioning repair service,100
Dallas Heating and Air Conditioning,(972) 423-0012,,http://www.dallasheatingac.com/,"5050 Quorum Dr Ste 700, Dallas, TX 75254",Dallas TX,4.8,217,HVAC contractor,100
Unlimited Air Conditioning and Heating,(945) 998-7066,,https://unlimitedairandheating.com/,"822 Woodlawn Ave, Dallas, TX 75208",Dallas TX,4.8,240,HVAC contractor,100
Alpha Heating & Cooling Llc.,(214) 945-8799,,https://alphahvac.site/,"1910 Pacific Ave Suite 12000, Dallas, TX 75201",Dallas TX,5,129,HVAC contractor,100
Rescue Air and Plumbing,(972) 201-3253,,https://www.rescueairtx.com/?utm_source=Google&utm_medium=GBP&utm_campaign=Organic_GBP_Rescue,"9639 Greenville Ave, Dallas, TX 75243",Dallas TX,4.9,3778,HVAC contractor,100
Moss Heating & Cooling,(972) 733-6802,,https://www.askmoss.com/?utm_source=google&utm_medium=gbp&se_campaign=GBP,"11145 Morrison Ln, Dallas, TX 75229",Dallas TX,4.9,958,HVAC contractor,100
Quigley Heating & Air Conditioning of Dallas,(214) 526-8533,,https://quigleyac.com/?utm_source=google+business+listing&utm_medium=organic&utm_campaign=click+to+website,"13720 Diplomat Dr, Farmers Branch, TX 75234",Dallas TX,4.9,569,HVAC contractor,100
Coolinary Arts Heating & Cooling,(972) 975-2665,,https://callcoolinaryarts.com/?utm_source=google&utm_medium=gbp&utm_campaign=Dallas,"5200 McKinney Ave, Dallas, TX 75205",Dallas TX,5,238,HVAC contractor,100
Tiger Air and Heating,(214) 214-6922,,http://www.tigerairtx.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"17606 Preston Rd, Dallas, TX 75252",Dallas TX,5,460,HVAC contractor,100
"Jade Air, LLC",(214) 923-7904,,http://jadeair.net/,"2243 Vagas St, Dallas, TX 75219",Dallas TX,4.8,146,HVAC contractor,100
"Harlen Johnson HVAC, Plumbing & Electrical",(972) 241-7771,,https://hjac.com/?utm_campaign=gmb,"2643 Royal Ln, Dallas, TX 75229",Dallas TX,4.8,1164,HVAC contractor,100
Metro Air Conditioning Heating & Services,(214) 304-7658,,https://www.metroacs.com/,"126 W Illinois Ave, Dallas, TX 75224",Dallas TX,4.8,339,HVAC contractor,100
TemperaturePro,(469) 485-5115,,http://www.temperatureprodallas.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-gaston,"6301 Gaston Ave Suite 1314, Dallas, TX 75214",Dallas TX,5,196,HVAC contractor,100
Texas AirZone LLC,(214) 851-3886,,https://www.texasairzone.com/?utm_source=Google&utm_medium=GBP&utm_campaign=Organic_GBP_TAZ,"10763 Mapleridge Dr, Dallas, TX 75238",Dallas TX,5,827,HVAC contractor,100
"Cody & Sons Plumbing, Heating & Air",(469) 200-3366,,http://www.codyandsons.com/,"209 W Clarendon Dr, Dallas, TX 75208",Dallas TX,4.9,2244,HVAC contractor,100
Appliance & Air Care Experts,(972) 771-5987,,https://www.applianceandaircare.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"2701 Fondren Dr #133, Dallas, TX 75206",Dallas TX,4.9,516,Air conditioning repair service,100
Sala Air Conditioning,(214) 742-7252,,https://salaair.com/,"4530 Mint Way, Dallas, TX 75236",Dallas TX,4.9,153,Air conditioning repair service,100
Aire Serv of Dallas,(214) 838-7191,,https://www.aireservdallas.com/,"5930 Lyndon B Johnson Fwy, Dallas, TX 75240",Dallas TX,4.8,249,Air conditioning repair service,100
Eastin Heating and Air,(972) 278-0613,,http://www.eastinair.com/?utm_campaign=gmb,"3838 Oak Lawn Ave Suite#1000, Dallas, TX 75219",Dallas TX,4.8,483,HVAC contractor,100
"Lex - Air Conditioning, Heating, Plumbing, Electrical",(972) 424-2473,,https://www.lexairconditioning.com/,,Dallas TX,4.8,737,Air conditioning repair service,100
Goettl Air Conditioning and Plumbing - San Antonio TX,(210) 460-3966,,https://www.goettl.com/location/san-antonio-texas/?utm_source=Google&utm_medium=GMB&utm_campaign=SAT.GMB_Google_Business_Profile,"7847 Fortune Dr, San Antonio, TX 78250",San Antonio TX,4.8,10443,HVAC contractor,100
ASC Heating & Air Conditioning,(210) 761-5130,,https://allseasonsac-sa.com/,"410 W Rhapsody Dr Suite C, San Antonio, TX 78216",San Antonio TX,4.9,530,HVAC contractor,100
Blueline Heating & Air Conditioning LLC,(210) 686-5500,,https://bluelineac.net/,"401 Isom Rd #540, San Antonio, TX 78216",San Antonio TX,5,324,HVAC contractor,100
Above All Air,(210) 954-6255,,https://www.aboveallair4u.com/,,San Antonio TX,4.8,363,HVAC contractor,100
1st Call Plumbing & AC,(210) 446-0200,,https://1stcallplumbingandac.com/,"5511 Brewster St, San Antonio, TX 78233",San Antonio TX,4.9,1982,HVAC contractor,100
Comfort-Air Engineering & Primo Plumbing,(210) 672-1874,,https://www.comfort-air.com/?utm_campaign=gmb&utm_medium=organic&utm_source=google,"11411 Jones Maltsberger Rd, San Antonio, TX 78216",San Antonio TX,4.8,482,HVAC contractor,100
Rosenberg Plumbing & Air,(210) 503-7388,,https://rosenberghvac.com/?utm_source=Google&utm_medium=GBP&utm_campaign=Organic_GBP_Rosenberg,"4335 Vance Jackson Rd Suite 505, San Antonio, TX 78230",San Antonio TX,4.9,2544,HVAC contractor,100
Champion AC - Climate Magic,(210) 972-8796,,https://www.championac.com/air-conditioning/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*258*champion-ac-san-antonio,"114 W Rhapsody Dr, San Antonio, TX 78216",San Antonio TX,4.9,467,HVAC contractor,100
ReliaBee Air Electric Plumbing,(210) 624-8776,,https://reliabee.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"14886 Tradesman Dr ste 116, San Antonio, TX 78249",San Antonio TX,5,864,HVAC contractor,100
AIR SYSTEMS A/C-HEATING AND REFRIGERATION,(210) 738-2665,,http://airsystemsac.com/,"3700 Fredericksburg Rd #121, San Antonio, TX 78201",San Antonio TX,4.9,294,Air conditioning contractor,100
Cowboy's Air Conditioning & Heating,(210) 405-8925,,https://www.cowboysac.com/,"6510 Blanco Rd, San Antonio, TX 78216",San Antonio TX,4.7,3880,HVAC contractor,100
Felix Air Services,(726) 249-5961,,https://felixairservices.com/,"130 Laurelwood Dr, San Antonio, TX 78213",San Antonio TX,5,236,HVAC contractor,100
Zero Heating AC & Refrigeration,(210) 900-0824,,http://zerohvacandrefrigeration.com/,"114 Park Plaza, San Antonio, TX 78237",San Antonio TX,5,538,HVAC contractor,100
Radiant Plumbing & Air Conditioning,(210) 934-3761,,https://radiantplumbing.com/san-antonio/?utm_source=google&utm_medium=businesslisting&utm_campaign=stx-brand_gmb_1023&utm_content=stx-brand,"10927 Wye Dr #102, San Antonio, TX 78217",San Antonio TX,4.8,2153,HVAC contractor,100
Air Care & Canyon Lake Air Conditioning,(210) 495-3555,,https://www.aircare-sa.com/,"11723 Warfield St, San Antonio, TX 78216",San Antonio TX,4.9,735,HVAC contractor,100
Air Dynamics Mechanical,(210) 852-3535,,http://www.airdynamicsmech.com/,"9514 Middlex Dr, San Antonio, TX 78217",San Antonio TX,4.9,226,HVAC contractor,100
Will Fix It,(210) 866-8048,,https://www.willfixit.com/locations?utm_source=google&utm_medium=gbp&utm_campaign=local_seo&utm_content=gbp_website_click,"3535 Metro Pkwy, San Antonio, TX 78247",San Antonio TX,4.6,8918,HVAC contractor,100
Jon Wayne Service Company,(830) 217-3095,,https://jonwayne.com/service-area/san-antonio/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*432*jon-wayne-san-antonio,"9272 US Hwy 87 E, San Antonio, TX 78263",San Antonio TX,4.8,16612,HVAC contractor,100
Elmer's Home Services,(210) 664-4358,,https://elmershomeservices.com/,"9710 I-35 Frontage Rd, San Antonio, TX 78233",San Antonio TX,4.8,7344,HVAC contractor,100
Premier PROS Plumbing & HVAC,(210) 322-8232,,https://premierpros.us/?utm_campaign=gmb,"2511 S WW White Rd #102, San Antonio, TX 78222",San Antonio TX,4.9,547,HVAC contractor,100
Daley Air,(210) 850-3267,,https://daley-air.com/,"17402 O'Connor Rd Ste 107, San Antonio, TX 78247",San Antonio TX,5,107,HVAC contractor,100
EZ Air Conditioning & Heating,(210) 558-7883,,https://www.ezacandheat.com/,"7217 Bandera Rd, San Antonio, TX 78238",San Antonio TX,4.9,581,HVAC contractor,100
McCullough Heating & Air Conditioning,(512) 877-6043,,https://coolmenow.com/?utm_source=google&utm_medium=gbp-aus,"2620 Buell Ave, Austin, TX 78757",Austin TX,4.8,3186,Air conditioning contractor,100
Strategic Air Services,(512) 253-4773,,https://strategicairservices.com/?utm_source=google&utm_medium=organic&utm_campaign=local,"9600 US-290, Austin, TX 78736",Austin TX,5,421,Air conditioning repair service,100
"Radiant Plumbing, Air Conditioning, & Electrical",(512) 690-4935,,https://radiantplumbing.com/austin/?utm_source=google&utm_medium=businesslisting&utm_campaign=atx-brand_gmb_1023&utm_content=atx-brand,"901 Reinli St, Austin, TX 78751",Austin TX,4.8,16575,HVAC contractor,100
TemperaturePro Austin,(512) 515-9807,,https://temperatureproaustin.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"14707 Fitzhugh Rd, Austin, TX 78736",Austin TX,4.9,356,HVAC contractor,100
Eco Air Conditioning,(512) 586-3449,,https://ecoacaustin.com/,"7509 Thomas Springs Rd, Austin, TX 78736",Austin TX,4.9,175,Air conditioning contractor,100
Smart Air Cooling & Heating,(512) 600-4311,,https://smartairaustin.com/?utm_source=gmb&utm_medium=organic,,Austin TX,4.9,694,HVAC contractor,100
Goettl Air Conditioning and Plumbing - Austin TX,(512) 991-2882,,https://www.goettl.com/location/austin-texas/?utm_source=Google&utm_medium=GMB&utm_campaign=AUS.GMB_Google_Business_Profile,"3600 Silver Dollar Cir, Austin, TX 78744",Austin TX,4.8,3733,HVAC contractor,100
"Champion Cooling, Heating & Plumbing",(512) 595-3473,,https://www.championacaustin.com/service-areas/austin/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*60*champion-ac-austin,"1106 Smith Rd Suite 102, Austin, TX 78721",Austin TX,4.8,3211,HVAC contractor,100
A-Plus Air Conditioning & Home Solutions,(512) 361-5050,,https://www.aplusac.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-profile-austin,"2116 White Horse Trail, Austin, TX 78757",Austin TX,4.9,1236,Air conditioning contractor,100
Strand Brothers Service Experts,(512) 598-6625,,https://www.serviceexperts.com/austin-tx/?&utm_campaign=listing&utm_medium=organic_search&utm_source=gmb&utm_content=brand,"5811 Techni Center Dr, Austin, TX 78721",Austin TX,4.8,7454,HVAC contractor,100
The Coolest LLC,(512) 468-6140,,http://www.thecoolestservice.com/,"4505 Terry-O Ln, Austin, TX 78745",Austin TX,5,779,HVAC contractor,100
Elite Air Conditioning and Plumbing,(512) 637-4237,,https://eliteaustinac.com/?utm_source=gmb&utm_medium=local&utm_campaign=website,"7101 Burleson Rd, Austin, TX 78744",Austin TX,4.9,719,Air conditioning contractor,100
Precision,(512) 379-6385,,https://www.precisionheatac.com/,"1506 Ferguson Ln Suite 101, Austin, TX 78754",Austin TX,4.7,1613,HVAC contractor,100
ABC Austin Service Express LLC,(512) 379-6775,,https://abc-austin-ac-and-heating.lovable.app/,"South Building 3, 1250 Capital of Texas Highhway, #400, Austin, TX 78746",Austin TX,4.9,861,HVAC contractor,100
"Stan's Heating, Air, Plumbing & Electrical",(512) 200-7614,,https://www.stansac.com/?utm_source=GMB&utm_medium=organic&utm_campaign=GMB,"6016 Dillard Cir, Austin, TX 78752",Austin TX,4.7,6161,HVAC contractor,100
ABA Heating and Cooling,(512) 200-9332,,https://abaaustin.com/,"2409 Richcreek Rd #2, Austin, TX 78757",Austin TX,4.7,277,Air conditioning repair service,100
Awesome Air & Heat Service,(512) 327-8383,,http://www.awesomeairtx.com/,,Austin TX,4.9,179,HVAC contractor,100
Atlas AC Repair LLC,(512) 265-1887,,https://atlasacrepair.com/,"3800 N Lamar Blvd #200, Austin, TX 78756",Austin TX,5,472,HVAC contractor,100
Blue Sky Heating and Air,(512) 222-6666,,https://blueskyheatingandair.net/,"5900 Balcones Dr STE 5090, Austin, TX 78731",Austin TX,4.7,388,HVAC contractor,100
Fort Worth Air Conditioning Co. Inc.,(817) 367-6000,,https://fortworth-air.com/,"9105 White Settlement Rd, Fort Worth, TX 76108",Fort Worth TX,4.9,457,HVAC contractor,100
One Hour Air Conditioning & Heating,(817) 766-5706,,https://www.onehourairftworth.com/?utm_source=organic&utm_medium=gbp,"2535 Brennan Ave, Fort Worth, TX 76106",Fort Worth TX,4.7,3204,HVAC contractor,100
Lawrence Air Conditioning & Heating,(817) 886-4506,,http://www.lawrenceairandheat.com/,"7949 Old Decatur Rd, Fort Worth, TX 76179",Fort Worth TX,5,834,HVAC contractor,100
R-10 Heat & Air,(817) 395-1200,,https://www.r10heatandair.com/?utm_source=GMBlisting&utm_medium=organic,"3839 E Loop 820 S, Fort Worth, TX 76119",Fort Worth TX,4.8,210,HVAC contractor,100
Webb Air Heating & Cooling,(817) 535-0881,,https://webbair.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"115 S Riverside Dr, Fort Worth, TX 76104",Fort Worth TX,5,440,HVAC contractor,100
Mike Reyes Heating and Air Conditioning Services,(817) 291-8559,,http://mikereyesac.com/,"4609 Rockwood Dr, Fort Worth, TX 76114",Fort Worth TX,5,144,HVAC contractor,100
"AirCo Air Conditioning, Heating and Plumbing",(817) 618-9916,,https://www.airco.com/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Fort-Worth-TX,"1900 Robotics Pl, Fort Worth, TX 76118",Fort Worth TX,4.8,4560,HVAC contractor,100
Comfort Experts,(817) 678-1287,,https://comfortexpertsinc.com/?utm_source=GMB&utm_medium=organic&utm_campaign=fort_worth,"4255 Bryant Irvin Rd Ste 211, Fort Worth, TX 76109",Fort Worth TX,4.8,2003,HVAC contractor,100
Texan Heating and Air,(817) 734-3073,,https://www.texanhvac.com/,"5608 Malvey Ave Suite 202, Fort Worth, TX 76107",Fort Worth TX,4.9,385,HVAC contractor,100
Fort Worth Mechanical Group,(817) 801-7084,,http://www.fortworthmechanicalgroup.com/,"4801 N Sylvania Ave, Fort Worth, TX 76137",Fort Worth TX,4.9,161,HVAC contractor,100
Service Experts Fort Worth,(817) 241-5893,,https://www.serviceexperts.com/fort-worth-tx/?&utm_campaign=listing&utm_medium=organic_search&utm_source=gmb&utm_content=brand,"2725 Basswood Blvd Suite #241, Fort Worth, TX 76131",Fort Worth TX,4.8,5018,HVAC contractor,100
Aire Serv of Fort Worth,(817) 900-3858,,https://www.aireserv.com/ft-worth/?cid=LSTL_ASV-US000187&utm_source=gmb&utm_campaign=local&utm_medium=organic,"3024 B Shawnee Trail, Fort Worth, TX 76135",Fort Worth TX,4.8,547,HVAC contractor,100
Fix My Air DFW AC Repair Fort Worth,(817) 839-3511,,https://www.hvacrepairfortworth.com/,"600 W 6th St, W 4th St Floor – Suite 70, Fort Worth, TX 76102",Fort Worth TX,5,302,HVAC contractor,100
Comfort Masters Heating & Air Conditioning,(817) 500-5354,,https://comfortmastersdfw.com/air-conditioning/ac-repair/?utm_source=google&utm_medium=gmb&utm_campaign=GMB%20Fort%20Worth,"6657 Corporation Pkwy #250, Fort Worth, TX 76126",Fort Worth TX,4.9,1145,HVAC contractor,100
North Tarrant Heating & Air Conditioning LLC,(817) 670-3144,,https://www.northtarrantac.com/,"12001 Egg Store Rd, Fort Worth, TX 76244",Fort Worth TX,5,631,Air conditioning repair service,100
Parker & Sons,(602) 424-9619,,https://www.parkerandsons.com/?utm_campaign=gmb_pk-phx_home_cus-all_googlebusinessprofile&utm_medium=gmb&utm_source=google,"3636 E Anne St A, Phoenix, AZ 85040",Phoenix AZ,4.7,32775,HVAC contractor,100
Desert Diamond Air Cooling & Heating,(623) 246-2377,,https://desertdiamondhvac.com/residential/air-conditioning-repair/?utm_source=google&utm_medium=gmb&utm_campaign=phoenix&se_campaign=Google%20My%20Business%20-%20Clicked%20to%20Website,"16602 N 25th Ave, Phoenix, AZ 85023",Phoenix AZ,4.9,2414,HVAC contractor,100
Scottsdale Air Heating & Cooling,(602) 834-2160,,https://www.scottsdaleair.com/,"4747 E Thomas Rd STE F, Phoenix, AZ 85018",Phoenix AZ,4.9,403,HVAC contractor,100
"Day & Night Air Conditioning, Heating, & Plumbing",(602) 584-7758,,https://www.dayandnightair.com/?utm_source=gmb&utm_medium=local&utm_campaign=phoenix-az,"3669 E La Salle St, Phoenix, AZ 85040",Phoenix AZ,4.9,9270,HVAC contractor,100
Goettl Air Conditioning and Plumbing - Phoenix AZ,(602) 517-0039,,https://www.goettl.com/location/phoenix-arizona/?utm_source=Google&utm_medium=GMB&utm_campaign=PHX.GMB_Google_Business_Profile,"4611 E Baseline Rd, Phoenix, AZ 85042",Phoenix AZ,4.7,13738,HVAC contractor,100
Cool Zone Air Conditioning & Heating,(623) 250-0012,,https://www.coolzoneair.com/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-phoenix-az,"2329 W Mescal St Suite 308, Phoenix, AZ 85029",Phoenix AZ,4.9,569,HVAC contractor,100
Island Breeze Air Conditioning & Heating LLC,(623) 692-6013,,https://islandbreeze-ac.com/,"809 E Fairmount Ave, Phoenix, AZ 85014",Phoenix AZ,5,612,HVAC contractor,100
WISE Cooling & Heating,(480) 575-6077,,http://www.wisecoolingandheating.com/,,Phoenix AZ,5,372,HVAC contractor,100
Sun Devil Heating and Cooling,(602) 466-1932,,https://sundevilaz.com/,"3033 N 35th Ave, Phoenix, AZ 85017",Phoenix AZ,4.8,137,Air conditioning contractor,100
Semper Fi Heating and Cooling,(623) 283-2272,,https://www.semperfiheatingcooling.com/heating-cooling-phoenix-az/?utm_source=GBPSouthPHX,"3726 W Roanoke Ave #4, Phoenix, AZ 85009",Phoenix AZ,4.8,161,HVAC contractor,100
"1st Choice Plumbing, Air & Insulation",(623) 292-3697,,https://1stchoicemechanicalaz.com/air-conditioning-phoenix-az/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"23309 N 17th Dr STE 116, Phoenix, AZ 85027",Phoenix AZ,4.9,1132,HVAC contractor,100
AZ Perfect Comfort Heating & Cooling,(602) 858-8261,,https://azperfectcomfort.com/?utm_source=gbp&utm_medium=organic,"20650 N 29th Pl STE 104, Phoenix, AZ 85050",Phoenix AZ,4.9,705,HVAC contractor,100
Reliance Heating and Air Conditioning,(602) 607-2150,,https://www.relianceac.com/?utm_source=Google&utm_medium=Google+Business+Profile&utm_campaign=GBP,"302 W Lone Cactus Dr, Phoenix, AZ 85027",Phoenix AZ,5,856,HVAC contractor,100
Mountainside Air Conditioning Repair,(480) 914-3425,,https://mountainsideair.com/ac-repair-phoenix-az/?utm_campaign=gmb,"2501 W Behrend Dr suite b-27, Phoenix, AZ 85027",Phoenix AZ,5,532,Air conditioning repair service,100
"Reeis Air Conditioning, Plumbing & Electrical",(480) 581-5683,,http://reeis.com/,"3525 E Corona Ave, Phoenix, AZ 85040",Phoenix AZ,4.9,1706,Air conditioning repair service,100
Benefit Air Conditioning,(602) 840-9229,,http://www.benefitair.com/,"1315 W Indian School Rd, Phoenix, AZ 85013",Phoenix AZ,4.9,702,Air conditioning repair service,100
Ideal Air Conditioning and Insulation,(480) 573-7604,,https://www.idealairaz.com/?utm_campaign=gmb&utm_medium=organic&utm_source=gmb,"4127 E University Dr, Phoenix, AZ 85034",Phoenix AZ,4.9,1358,Air conditioning repair service,100
All Area A/C & Heating,(602) 718-9363,,https://allareaacandheating.com/,"7109 S 19th Dr, Phoenix, AZ 85041",Phoenix AZ,5,214,Air conditioning repair service,100
Same Day Air Repair,(602) 571-1728,,https://samedayairrepair.com/,"1006 W Adams St, Phoenix, AZ 85007",Phoenix AZ,4.8,1725,HVAC contractor,100
Howard Air Service Center,(602) 428-4239,,https://howardair.com/?utm_source=GBP&utm_medium=organic,"13235 N Cave Creek Rd, Phoenix, AZ 85022",Phoenix AZ,4.7,1100,Air conditioning repair service,100
"Rite Way Heating, Cooling & Plumbing",(520) 314-5053,,https://ritewayac.com/?utm_source=google&utm_medium=gmb&utm_campaign=smp_gmb_tucson,"4551 S Alvernon Way, Tucson, AZ 85714",Tucson AZ,4.9,12326,HVAC contractor,100
D&H Air Conditioning & Heating & Plumbing,(520) 477-4409,,https://www.dandhac.com/?utm_source=google&utm_medium=organic&utm_campaign=evans_gbp,"3990 S Evans Blvd, Tucson, AZ 85714",Tucson AZ,4.8,3665,HVAC contractor,100
Alaskan Air Conditioning & Heating Tucson,(520) 815-5555,,https://www.alaskanac.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*575*alaskan-air-tucson,"2305 N 7th Ave, Tucson, AZ 85705",Tucson AZ,4.7,3623,HVAC contractor,100
Goettl Air Conditioning and Plumbing - Tucson AZ,(520) 657-0336,,https://www.goettl.com/location/tucson-arizona/?utm_source=Google&utm_medium=GMB&utm_campaign=TUC.GMB_Google_Business_Profile,"4771 S Overland Dr, Tucson, AZ 85714",Tucson AZ,4.7,4542,HVAC contractor,100
Tailored Mechanical,(520) 808-2743,,https://tailoredmechanical.com/,"3144 E Fort Lowell Rd, Tucson, AZ 85716",Tucson AZ,4.9,790,HVAC contractor,100
City Heating and Cooling LLC,(520) 339-7228,,https://www.cityheatingandcooling.org/,"3382 E Holladay St, Tucson, AZ 85706",Tucson AZ,5,414,HVAC contractor,100
Samson and Sons,(520) 437-3014,,http://samsonandsonshvac.com/,"2555 N Coyote Dr # 108, Tucson, AZ 85745",Tucson AZ,4.9,449,HVAC contractor,100
"Perry Heating, Cooling and Plumbing",(520) 200-5425,,https://perryheatingandcooling.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*552*perry-tucson,"3266 E Grant Rd, Tucson, AZ 85716",Tucson AZ,4.7,1660,HVAC contractor,100
"Temperature Control, Inc. A/C-Heating & Plumbing - Tucson, AZ",(520) 775-3566,,https://temp-con.com/?utm_source=google+business+listing&utm_medium=organic&utm_campaign=click+to+website&utm_content=tucson,"215 W Lester St, Tucson, AZ 85705",Tucson AZ,4.9,2170,HVAC contractor,100
HVAC Heating & Cooling LLC,(520) 833-8982,,http://hvacheatingandcoolingllc.com/,"2150 W Canada St, Tucson, AZ 85746",Tucson AZ,5,187,HVAC contractor,100
"Mission Heating & Cooling, LLC",(520) 675-4270,,https://www.tucsonazheatingandcooling.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"3720 W Hills Of Gold Dr, Tucson, AZ 85745",Tucson AZ,4.9,658,HVAC contractor,100
Dynamic Comfort AC and Heating,(520) 323-0008,,https://dynamiccomfortacandheating.com/,"3855 N Oracle Rd, Tucson, AZ 85705",Tucson AZ,5,586,HVAC contractor,100
"Smart Choice Heating & Cooling, Inc",(520) 955-2544,,http://smartchoicetucson.com/,"1925 W Gardner Ln, Tucson, AZ 85705",Tucson AZ,4.7,661,HVAC contractor,100
Family Air LLC,(520) 399-5850,,https://familyairaz.com/,"2021 E 12th St, Tucson, AZ 85719",Tucson AZ,4.7,403,HVAC contractor,100
Best Choice Heating & Cooling LLC,(520) 815-0889,,https://bestchoicecooling.com/,"625 S Plumer Ave Suite B, Tucson, AZ 85719",Tucson AZ,5,217,HVAC contractor,100
"Intelligent Design Air Conditioning, Plumbing, Solar, & Electric",(520) 333-2665,,https://www.idesignac.com/?utm_source=google&utm_medium=gbp&utm_campaign=gbp_primary_tucson,"1145 E Fort Lowell Rd, Tucson, AZ 85719",Tucson AZ,4.9,3677,HVAC contractor,100
B & J Refrigeration Inc. - Heating and Cooling,(520) 326-9672,,https://bjrefrigeration.com/,"2019 E 17th St, Tucson, AZ 85719",Tucson AZ,4.8,267,HVAC contractor,100
ACS,(520) 402-3444,,https://acshvac.com/?utm_source=gbp&utm_medium=organic&utm_campaign=main_location,"4925 N Shamrock Pl #155, Tucson, AZ 85705",Tucson AZ,4.8,444,HVAC contractor,100
Air Conditioning of Arizona,(480) 250-3882,,https://www.acofaz.net/,"7652 E Greenway Rd Ste 103, Scottsdale, AZ 85260",Scottsdale AZ,5,714,HVAC contractor,100
AC by J,(602) 607-0943,,https://acbyj.com/,"7595 E Gray Rd #1, Scottsdale, AZ 85260",Scottsdale AZ,4.8,2344,Air conditioning repair service,100
